更新时间,#genre#
2024-12-17 06:33:30,url
🎬电影频道,#genre#
CHC家庭影院,http://113.57.109.48:1111/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CHC家庭影院,http://58.19.38.162:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://218.76.32.193:9901/tsfile/live/1018_1.m3u8
CHC家庭影院,http://113.57.109.48:1111/tsfile/live/1044_1.m3u8$1920x1080
CHC家庭影院,http://114.105.185.143:9901/tsfile/live/1072_1.m3u8
CHC家庭影院,http://183.94.146.109:2222/tsfile/live/1018_1.m3u8
CHC家庭影院,http://59.173.243.210:9901/tsfile/live/1031_1.m3u8
CHC家庭影院,http://60.255.240.247:8090/live/jbtygqCHCjtyyH265_4000.m3u8
CHC家庭影院,http://183.94.146.109:2222/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1148&tk=97475bb89d45
CHC家庭影院,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2500&tk=7d4ad8f156e3
CHC家庭影院,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4550&tk=e503191f8e20
CHC动作电影,http://113.57.109.48:1111/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://218.76.32.193:9901/tsfile/live/1020_1.m3u8
CHC动作电影,http://113.57.109.48:1111/tsfile/live/1045_1.m3u8$1920x1080
CHC动作电影,http://59.173.243.210:9901/tsfile/live/1012_1.m3u8
CHC动作电影,http://183.94.146.109:2222/tsfile/live/1019_1.m3u8
CHC动作电影,http://123.189.39.129:9901/tsfile/live/1101_1.m3u8
CHC动作电影,http://113.236.31.149:9901/tsfile/live/1101_1.m3u8
CHC动作电影,http://113.236.28.117:9901/tsfile/live/1101_1.m3u8
CHC动作电影,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4995&tk=97475bb89d45
CHC动作电影,http://124.230.56.27:55555/udp/239.76.252.243:9000
CHC动作电影,http://112.102.217.173:9003//hls/75/index.m3u8
CHC高清电影,http://113.57.109.48:1111/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CHC高清电影,http://58.19.38.162:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CHC高清电影,http://220.249.114.102:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
淘电影,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3420&tk=97475bb89d45
淘电影,http://114.249.215.204:9888/udp/239.3.1.250:8001
淘电影,http://114.252.239.133:9876/udp/239.3.1.250:8001
淘电影,http://115.171.216.209:4000/udp/225.1.8.38:8002
淘电影,http://222.129.139.229:8888/udp/239.3.1.250:8001$1920x1080
淘电影,http://111.196.191.248:5555/rtp/239.3.1.250:8001$1920x1080
淘电影,http://221.222.162.206:8888/udp/239.3.1.250:8001$1920x1080
淘电影,http://114.249.229.24:8888/udp/239.3.1.250:8001$1920x1080
淘电影,http://123.113.249.203:8888/udp/239.3.1.250:8001
淘电影,http://39.98.201.151:9090/udp/225.1.8.38:8002
淘电影,http://1.203.111.193:17777/udp/225.1.8.38:8002$1920x1080
淘电影,http://111.196.129.152:20000/udp/239.3.1.250:8001$1920x1080
淘电影,http://221.219.79.161:4000/udp/239.3.1.250:8001$1920x1080
淘电影,https://stream1.freetv.fun/tao-dian-ying-10.ctv
淘电影,https://stream1.freetv.fun/tao-dian-ying-2.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-3.ctv
淘电影,https://stream1.freetv.fun/tao-dian-ying-4.m3u8
淘电影,https://stream1.freetv.fun/tao-dian-ying-5.ctv
淘电影,https://stream1.freetv.fun/tao-dian-ying-8.ctv
淘电影,https://stream1.freetv.fun/tao-dian-ying-9.ctv
淘电影,http://114.249.230.215:9888/udp/239.3.1.250:8001
淘电影,http://222.129.139.91:8888/udp/239.3.1.250:8001
淘电影,http://115.171.216.225:4000/udp/225.1.8.38:8002
淘电影,http://123.122.162.7:19999/udp/239.3.1.250:8001
淘电影,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8273&tk=e503191f8e20
淘电影,http://222.129.139.91:8888/rtp/239.3.1.250:8001
淘电影,https://stream1.freetv.fun/tao-dian-ying-7.ctv
淘电影,https://stream1.freetv.fun/tao-dian-ying-6.ctv
淘电影,https://stream1.freetv.fun/tao-dian-ying-11.ctv
淘电影,http://221.219.79.161:4000/rtp/239.3.1.250:8001$1920x1080
NewTV动作电影,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000018653
黑莓电影,http://112.102.217.173:9003//hls/99/index.m3u8
黑莓电影,http://www.72444165.xyz:5005/itv/ystenlive/1000000004000019624
靖天映画,https://litv.zapi.us.kg/?id=4gtv-4gtv055
靖天戏剧,https://litv.zapi.us.kg/?id=4gtv-4gtv058
靖天戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv058
经典电影,http://113.57.20.158:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://115.171.216.209:4000/udp/225.1.8.203:9024
经典电影,http://59.48.75.130:3052/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
经典电影,http://183.66.13.82:60033/tsfile/live/0111_2.m3u8
经典电影,https://stream1.freetv.fun/jing-dian-dian-ying-9.m3u8
经典电影,http://183.66.15.146:60901/tsfile/live/0111_2.m3u8
经典电影,http://114.252.239.133:9876/udp/239.3.1.195:9024
经典电影,http://113.57.20.158:9901/tsfile/live/1012_1.m3u8
经典电影,http://222.129.139.229:8888/udp/239.3.1.195:9024$1920x1080
经典电影,http://114.249.230.215:9888/udp/239.3.1.195:9024
经典电影,http://27.14.27.23:9901/tsfile/live/1005_1.m3u8
经典电影,http://123.113.249.203:8888/udp/239.3.1.195:9024
经典电影,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2630&tk=97475bb89d45
经典电影,http://111.196.129.152:20000/udp/239.3.1.195:9024$1920x1080
经典电影,http://222.142.65.165:9901/tsfile/live/1024_1.m3u8
经典电影,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4354&tk=e503191f8e20
IPTV经典电影,http://123.56.129.203:6850/rtp/225.1.8.203:9024
IPTV经典电影,http://123.56.129.203:8128/rtp/225.1.8.203:9024
IPTV经典电影,http://123.56.129.203:3307/rtp/225.1.8.203:9024
IPTV经典电影,http://123.56.129.203:5901/rtp/225.1.8.203:9024
无线星河,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=Xinhe
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-10.m3u8
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-4.ctv
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-12.m3u8
星空卫视,http://114.105.185.143:9901/tsfile/live/0117_1.m3u8
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-14.m3u8
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视,https://stream1.freetv.fun/xing-kong-wei-shi-11.m3u8
东森电影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
东森电影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
东森电影,http://1b6467f415.iok.la:9931/tsfile/live/1043_1.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-3.m3u8
东森电影,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=ettvmovie
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-4.m3u8
东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-1.m3u8
东森电影,https://bsex.serv00.net/Smart.php?id=ettvmovie
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=217&time=20240926215313&ip=111.229.253.40$1920x1080
东森超视,https://cdn.iptv8k.top/dl/jrys.php?id=216&time=20240926215313&ip=111.229.253.40$1920x1080
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-6.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-4.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-9.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-8.ctv
